plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
emi20231201t201023p13003-A,36.04328190922341,-119.46355531510318,2023-12-01T20:10:23+00,Livestock (4B),CH4,mfa,"[-119.53051371773019, 35.98970692014497, -119.39399960218326, 36.099606639320825]",emi,production,2024-02-13 19:57:10.883963+00:00,2025-03-25 22:56:40.822891+00:00,v1,,,,,,,3.65234375,0.2308349609375,353.0324360889844,10.214922981716649,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_rgb.png
emi20231201t201023p13003-C,36.249015166804426,-119.58088955065375,2023-12-01T20:10:23+00,Livestock (4B),CH4,mfa,"[-119.65412193548632, 36.19166751513012, -119.5172670806589, 36.30203778406079]",emi,production,2024-02-13 19:57:10.935347+00:00,2025-03-25 22:51:31.687201+00:00,v1,,,,,,,3.828125,0.16259765625,354.91229240566093,5.730342807530531,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_rgb.png
emi20231201t201023p13003-D,36.25721474560963,-119.6029812245418,2023-12-01T20:10:23+00,Livestock (4B),CH4,mfa,"[-119.63582980986874, 36.229084407229855, -119.56680141559997, 36.2847470516566]",emi,production,2024-02-15 20:14:25.656125+00:00,2025-03-25 22:58:27.356649+00:00,v1,,,,,,,3.876953125,0.2054443359375,355.3543110860061,4.9323143939437255,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_rgb.png
emi20231027t170416p11004-A,36.37103742724514,-114.86541914058363,2023-10-27T17:04:16+00,Solid Waste (6A),CH4,mfa,"[-114.9065968662733, 36.33635490490825, -114.83664432459626, 36.39268496182353]",emi,production,2024-12-17 19:56:39.880924+00:00,2025-03-25 22:41:20.703967+00:00,v1,0.17.1,,,,995.333796156245,245.66249495311615,1.6393229166666667,0.24524662674919231,37.12595534752591,12.267402392861896,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/27/emi20231027t170416p11004-A/emi20231027t170416p11004-A_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/27/emi20231027t170416p11004-A/emi20231027t170416p11004-A_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2023/10/27/emi20231027t170416p11004-A/emi20231027t170416p11004-A_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/27/emi20231027t170416p11004-A/emi20231027t170416p11004-A_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/27/emi20231027t170416p11004-A/emi20231027t170416p11004-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20231026t175210p12009-A,34.43709749015841,-118.64614448874258,2023-10-26T17:52:10+00,Solid Waste (6A),CH4,mfa,"[-118.68178938960558, 34.410910384154555, -118.61252239033648, 34.46803654132873]",emi,production,2024-02-15 20:14:42.355711+00:00,2025-03-25 22:49:03.781919+00:00,v1,,,,,888.7605729777762,407.0717632989067,1.6982421875,0.77783203125,244.7459809262358,72.14259324083267,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20231022t192802p13009-A,32.85379900432886,-117.16482837105359,2023-10-22T19:28:02+00,Solid Waste (6A),CH4,mfa,"[-117.23204959201541, 32.79828044834415, -117.09875874158789, 32.91025181608731]",emi,production,2024-02-08 00:19:30.241464+00:00,2025-03-25 22:49:01.496068+00:00,v1,,,,,1321.1526987512634,264.2889461471913,2.208984375,0.44189453125,251.1602320663623,31.99045365392939,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_rgb.png
emi20231022t192727p13006-A,34.43766866843235,-118.64280940009847,2023-10-22T19:27:27+00,Solid Waste (6A),CH4,mfa,"[-118.67458065907608, 34.41096594773078, -118.6052652177964, 34.46813200452356]",emi,production,2024-02-08 00:19:43.343622+00:00,2025-03-25 22:49:03.903747+00:00,v1,,,,,2053.6713063062957,622.7083773277267,3.642578125,1.1044921875,218.04506391336346,7.755074058019649,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20231020t192548p13008-A,40.74602690765673,-116.5299214092663,2023-10-20T19:25:48+00,Electricity Generation (1A1),CO2,mfal,"[-116.5641717318342, 40.723479158757485, -116.4929204965022, 40.777456215131615]",emi,production,2024-11-15 16:31:37.280996+00:00,2025-03-25 23:03:22.366891+00:00,v1,0.13.1,,,,96576.04327302046,53131.50819961744,0.9879557291666666,0.513183722802011,148.83559077477784,71.29263554960411,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2023/10/20/emi20231020t192548p13008-A/emi20231020t192548p13008-A_l3a-vis-co2-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2023/10/20/emi20231020t192548p13008-A/emi20231020t192548p13008-A_l3a-vis-co2-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v1/2023/10/20/emi20231020t192548p13008-A/emi20231020t192548p13008-A_l3a-ime-co2-mfal-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2023/10/20/emi20231020t192548p13008-A/emi20231020t192548p13008-A_l3a-vis-co2-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v002/2023/10/20/emi20231020t192548p13008-A/emi20231020t192548p13008-A_l3a-vis-co2-mfa-v002_rgb.png
emi20231018t210229p14007-B,34.300587997686804,-118.79510519731623,2023-10-18T21:02:29+00,Solid Waste (6A),CH4,mfa,"[-118.81954921850391, 34.270740146778664, -118.75095658880915, 34.32789759276136]",emi,production,2024-12-17 20:00:35.443506+00:00,2025-03-25 23:08:31.615177+00:00,v1,0.13.1,,,,2714.425290265629,687.6282311057121,4.06640625,0.8032893901957386,214.1111822432021,12.070379564105359,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_rgb.png
emi20231009t165739p11001-B,34.30381618899408,-118.78801543645987,2023-10-09T16:57:39+00,Solid Waste (6A),CH4,mfa,"[-118.81347475110451, 34.27646774857532, -118.73089541135052, 34.34467780416087]",emi,production,2024-12-17 20:00:35.443506+00:00,2025-03-25 22:51:03.490693+00:00,v1,0.13.1,,,,700.4505445412249,447.81917384700415,1.7457682291666667,0.5469879518151026,224.5192011539662,47.388676395289274,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_rgb.png
