emi20231201t201023p13003-A,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231201t201023p13003-C,36.0432819092234,-119.463555315103,2023-12-01T20:10:23+00,Livestock (4B),CH4,mfa,"[-119.53051371773019, 35.98970692014497, -119.39399960218326, 36.099606639320825]",emi,production,2024-02-13 19:57:10.883963+00:00,2025-03-25 22:56:40.822891+00:00,v1,,,,,,,3.65234375,0.2308349609375,353.032436088984,10.2149229817167,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-A/emi20231201t201023p13003-A_l3a-vis-ch4-mfa-v1_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231201t201023p13003-D,36.2490151668044,-119.580889550654,2023-12-01T20:10:23+00,Livestock (4B),CH4,mfa,"[-119.65412193548632, 36.19166751513012, -119.5172670806589, 36.30203778406079]",emi,production,2024-02-13 19:57:10.935347+00:00,2025-03-25 22:51:31.687201+00:00,v1,,,,,,,3.828125,0.16259765625,354.912292405661,5.73034280753053,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/12/01/emi20231201t201023p13003-C/emi20231201t201023p13003-C_l3a-vis-ch4-mfa-v1_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231026t175210p12009-A,36.2572147456096,-119.602981224542,2023-12-01T20:10:23+00,Livestock (4B),CH4,mfa,"[-119.63582980986874, 36.229084407229855, -119.56680141559997, 36.2847470516566]",emi,production,2024-02-15 20:14:25.656125+00:00,2025-03-25 22:58:27.356649+00:00,v1,,,,,,,3.876953125,0.2054443359375,355.354311086006,4.93231439394373,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/12/01/emi20231201t201023p13003-D/emi20231201t201023p13003-D_l3a-vis-ch4-mfa-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231022t192802p13009-A,34.4370974901584,-118.646144488743,2023-10-26T17:52:10+00,Solid Waste (6A),CH4,mfa,"[-118.68178938960558, 34.410910384154555, -118.61252239033648, 34.46803654132873]",emi,production,2024-02-15 20:14:42.355711+00:00,2025-03-25 22:49:03.781919+00:00,v1,,,,,888.760572977776,407.071763298907,1.6982421875,0.77783203125,244.745980926236,72.1425932408327,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/26/emi20231026t175210p12009-A/emi20231026t175210p12009-A_l3a-vis-ch4-mfa-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231022t192727p13006-A,32.8537990043289,-117.164828371054,2023-10-22T19:28:02+00,Solid Waste (6A),CH4,mfa,"[-117.23204959201541, 32.79828044834415, -117.09875874158789, 32.91025181608731]",emi,production,2024-02-08 00:19:30.241464+00:00,2025-03-25 22:49:01.496068+00:00,v1,,,,,1321.15269875126,264.288946147191,2.208984375,0.44189453125,251.160232066362,31.9904536539294,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/22/emi20231022t192802p13009-A/emi20231022t192802p13009-A_l3a-vis-ch4-mfa-v1_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231018t210229p14007-B,34.4376686684323,-118.642809400098,2023-10-22T19:27:27+00,Solid Waste (6A),CH4,mfa,"[-118.67458065907608, 34.41096594773078, -118.6052652177964, 34.46813200452356]",emi,production,2024-02-08 00:19:43.343622+00:00,2025-03-25 22:49:03.903747+00:00,v1,,,,,2053.6713063063,622.708377327727,3.642578125,1.1044921875,218.045063913363,7.75507405801965,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/22/emi20231022t192727p13006-A/emi20231022t192727p13006-A_l3a-vis-ch4-mfa-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231009t165739p11001-B,34.3005879976868,-118.795105197316,2023-10-18T21:02:29+00,Solid Waste (6A),CH4,mfa,"[-118.81954921850391, 34.270740146778664, -118.75095658880915, 34.32789759276136]",emi,production,2024-12-17 20:00:35.443506+00:00,2025-03-25 23:08:31.615177+00:00,v1,0.13.1,,,,2714.42529026563,687.628231105712,4.06640625,0.803289390195739,214.111182243202,12.0703795641054,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/18/emi20231018t210229p14007-B/emi20231018t210229p14007-B_l3a-vis-ch4-mfa-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231009t165739p11001-C,34.3038161889941,-118.78801543646,2023-10-09T16:57:39+00,Solid Waste (6A),CH4,mfa,"[-118.81347475110451, 34.27646774857532, -118.73089541135052, 34.34467780416087]",emi,production,2024-12-17 20:00:35.443506+00:00,2025-03-25 22:51:03.490693+00:00,v1,0.13.1,,,,700.450544541225,447.819173847004,1.74576822916667,0.546987951815103,224.519201153966,47.3886763952893,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-B/emi20231009t165739p11001-B_l3a-vis-ch4-mfa-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20231004t192230p13004-A,34.3003404544581,-118.797743342653,2023-10-09T16:57:39+00,Solid Waste (6A),CH4,mfa,"[-118.81391746517315, 34.26914301943534, -118.73016387441774, 34.33784160895705]",emi,production,2024-12-17 20:00:35.443506+00:00,2025-03-25 22:50:19.043037+00:00,v1,0.13.1,,,,1007.91541478265,387.329045285415,1.74576822916667,0.546987951815103,224.519201153966,47.3886763952893,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-C/emi20231009t165739p11001-C_l3a-vis-ch4-mfa-v002_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-C/emi20231009t165739p11001-C_l3a-vis-ch4-mfa-v002_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-ch4-mfa-v1/2023/10/09/emi20231009t165739p11001-C/emi20231009t165739p11001-C_l3a-ime-ch4-mfa-v1_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-C/emi20231009t165739p11001-C_l3a-vis-ch4-mfa-v002_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v002/2023/10/09/emi20231009t165739p11001-C/emi20231009t165739p11001-C_l3a-vis-ch4-mfa-v002_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emi20230926t223356p15002-A,37.877946206727,-121.189755173881,2023-10-04T19:22:30+00,Solid Waste (6A),CH4,mfa,"[-121.25608321496831, 37.82220716290344, -121.11962796650907, 37.92991680408667]",emi,production,2024-02-08 01:46:42.737885+00:00,2025-03-25 22:49:04.830738+00:00,v1,,,,,2025.04410949842,620.891559264621,0.86474609375,0.26513671875,344.918230265391,23.180748457721,hrrr,ISS,NASA-JPL EMIT,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/04/emi20231004t192230p13004-A/emi20231004t192230p13004-A_l3a-vis-ch4-mfa-v1_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/04/emi20231004t192230p13004-A/emi20231004t192230p13004-A_l3a-vis-ch4-mfa-v1_plume.png,,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/04/emi20231004t192230p13004-A/emi20231004t192230p13004-A_l3a-vis-ch4-mfa-v1_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mfa-v1/2023/10/04/emi20231004t192230p13004-A/emi20231004t192230p13004-A_l3a-vis-ch4-mfa-v1_rgb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
